Warehouse,Product,Stock Level,Reorder Level,Supplier,Last Updated,Transport Cost
WH-B,Keyboard,270.0,63,Supplier-B,2024-09-14,1857
WH-D,Keyboard,21.0,83,Supplier-X,2025-04-05,1389
WH-C,Tablet,302.0,193,Supplier-A,2026-04-20,2660
WH-A,Mobile,,144,Supplier-Y,2025-03-25,1348
WH-E,Tablet,,143,Supplier-A,2025-10-12,2557
WH-A,Mouse,369.0,76,Supplier-Y,2025-01-22,1688
WH-E,Printer,403.0,110,Supplier-B,2026-03-19,4101
WH-B,Tablet,32.0,135,Supplier-A,2024-08-03,2046
WH-D,Monitor,101.0,77,Supplier-Z,2026-01-18,2148
WH-A,Camera,122.0,167,Supplier-Y,2025-06-22,2095
WH-C,Monitor,32.0,152,Supplier-Y,2025-08-21,1614
WH-C,Mobile,199.0,152,Supplier-Z,2024-10-05,2494
WH-E,Mouse,79.0,116,Supplier-X,2026-06-17,1428
WH-E,Keyboard,75.0,138,Supplier-X,2025-04-21,1798
WH-C,Printer,281.0,197,Supplier-B,2024-08-31,2990
WH-C,Laptop,20.0,187,Supplier-A,2025-09-02,2461
WH-B,Mouse,55.0,134,Supplier-A,2025-02-13,1284
WH-C,Mobile,279.0,154,Supplier-Z,2026-04-06,2554
WH-D,Keyboard,85.0,220,Supplier-B,2025-11-01,1849
WH-B,Keyboard,300.0,127,Supplier-A,2025-10-24,1946
WH-B,Printer,330.0,169,Supplier-B,2026-05-19,3066
WH-D,Monitor,262.0,238,Supplier-B,2026-05-01,2722
WH-A,Keyboard,359.0,135,Supplier-B,2025-04-07,1924
WH-B,Keyboard,432.0,56,Supplier-Y,2025-09-22,2019
WH-B,Camera,455.0,166,Supplier-B,2024-11-27,3627
WH-E,Monitor,273.0,87,Supplier-A,2025-12-30,3104
WH-A,Mobile,132.0,228,Supplier-A,2024-08-24,1911
WH-D,Laptop,147.0,81,Supplier-B,2024-08-05,3024
WH-B,Camera,306.0,243,Supplier-B,2025-11-26,3194
WH-E,Printer,248.0,240,Supplier-B,2024-12-25,3635
WH-D,Camera,404.0,213,Supplier-Z,2026-02-21,3603
WH-E,Camera,160.0,232,Supplier-Y,2025-02-10,2976
WH-B,Keyboard,183.0,70,Supplier-Z,2024-08-31,1419
WH-B,Monitor,375.0,104,Supplier-A,2026-04-26,2507
WH-D,Printer,297.0,65,Supplier-Z,2024-12-28,3046
WH-D,Printer,,245,Supplier-B,2026-05-05,2544
WH-D,Camera,200.0,149,Supplier-X,2024-09-17,3086
WH-D,Monitor,132.0,174,Supplier-A,2025-04-22,2160
WH-D,Mouse,390.0,169,Supplier-A,2025-02-01,2435
WH-E,Laptop,323.0,56,Supplier-A,2025-06-18,3461
WH-D,Tablet,,147,Supplier-A,2025-11-06,2117
WH-B,Camera,192.0,147,Supplier-Z,2026-04-09,2568
WH-D,Keyboard,,188,Supplier-X,2025-04-10,1026
WH-C,Monitor,419.0,60,Supplier-X,2024-11-04,2893
WH-A,Monitor,,89,Supplier-Y,2025-04-14,1072
WH-B,Camera,308.0,169,Supplier-X,2025-04-02,2932
WH-C,Mouse,330.0,241,Supplier-Y,2024-12-10,2157
WH-A,Tablet,75.0,129,Supplier-Z,2025-12-03,1769
WH-D,Printer,58.0,210,Supplier-Y,2025-01-24,2248
WH-A,Keyboard,432.0,194,Supplier-B,2025-12-28,2496
WH-A,Mouse,239.0,67,Supplier-B,2026-06-28,1676
WH-C,Laptop,441.0,160,Supplier-A,2025-12-13,3558
WH-D,Tablet,110.0,216,Supplier-A,2025-11-16,2418
WH-E,Camera,243.0,201,Supplier-A,2024-08-25,3416
WH-C,Monitor,162.0,112,Supplier-X,2025-10-17,2120
WH-D,Printer,34.0,133,Supplier-Z,2025-11-06,2245
WH-D,Monitor,428.0,121,Supplier-Z,2024-11-10,3384
WH-E,Keyboard,25.0,98,Supplier-B,2025-08-19,1718
WH-B,Printer,304.0,226,Supplier-A,2026-01-18,2905
WH-D,Camera,67.0,153,Supplier-X,2025-01-07,2605
WH-B,Keyboard,208.0,185,Supplier-B,2024-11-04,1800
WH-D,Mouse,379.0,128,Supplier-Z,2025-06-25,2365
WH-B,Mobile,181.0,187,Supplier-Y,2025-04-21,2183
WH-B,Monitor,398.0,235,Supplier-Y,2025-01-26,2645
WH-E,Keyboard,446.0,108,Supplier-X,2026-06-19,2722
WH-B,Keyboard,382.0,120,Supplier-X,2025-11-10,1769
WH-A,Keyboard,346.0,175,Supplier-Y,2025-12-17,1590
WH-A,Keyboard,265.0,97,Supplier-A,2025-09-06,1521
WH-C,Camera,,175,Supplier-X,2024-12-18,1887
WH-E,Laptop,96.0,127,Supplier-Y,2025-12-14,2581
WH-B,Mobile,411.0,202,Supplier-B,2025-03-09,3187
WH-E,Monitor,214.0,163,Supplier-B,2026-04-16,2844
WH-E,Printer,311.0,206,Supplier-Z,2026-02-17,3561
WH-A,Monitor,155.0,90,Supplier-Y,2026-02-23,1537
WH-B,Mobile,21.0,226,Supplier-Y,2024-08-13,1617
WH-D,Keyboard,138.0,122,Supplier-X,2024-12-25,1773
WH-D,Mobile,493.0,210,Supplier-Y,2026-03-31,3430
WH-B,Printer,298.0,88,Supplier-X,2024-07-25,2480
WH-B,Mobile,104.0,202,Supplier-X,2026-03-18,1845
WH-E,Keyboard,83.0,127,Supplier-A,2025-03-03,2107
WH-D,Keyboard,296.0,70,Supplier-B,2025-05-08,2594
WH-A,Printer,329.0,73,Supplier-Z,2025-01-24,2554
WH-E,Laptop,,243,Supplier-Z,2024-08-21,2439
WH-D,Camera,112.0,161,Supplier-Z,2024-12-11,2911
WH-D,Mobile,198.0,132,Supplier-A,2026-06-10,2787
WH-A,Tablet,230.0,123,Supplier-Z,2025-09-14,2279
WH-D,Laptop,65.0,132,Supplier-A,2026-05-12,2504
WH-D,Laptop,256.0,98,Supplier-B,2026-01-09,3383
WH-C,Camera,,118,Supplier-A,2025-03-02,2431
WH-B,Keyboard,470.0,81,Supplier-A,2024-12-13,2324
WH-E,Monitor,179.0,191,Supplier-Y,2025-11-22,2495
WH-A,Monitor,256.0,215,Supplier-X,2025-07-23,2044
WH-B,Camera,280.0,156,Supplier-Z,2025-05-04,3117
WH-D,Camera,253.0,148,Supplier-Y,2026-05-19,3006
WH-E,Tablet,161.0,156,Supplier-X,2026-06-11,2507
WH-E,Keyboard,164.0,200,Supplier-X,2025-11-12,1988
WH-D,Tablet,295.0,135,Supplier-A,2025-06-22,3117
WH-E,Printer,497.0,98,Supplier-A,2024-10-19,4198
WH-B,Printer,458.0,61,Supplier-Y,2025-01-22,3086
WH-D,Printer,359.0,216,Supplier-A,2024-10-17,3304
WH-D,Laptop,277.0,134,Supplier-Y,2025-01-08,3326
WH-A,Camera,289.0,53,Supplier-X,2026-01-30,2686
WH-B,Printer,58.0,117,Supplier-Y,2025-09-10,1897
WH-E,Printer,456.0,222,Supplier-X,2025-08-23,3857
WH-E,Printer,340.0,244,Supplier-Z,2025-01-21,3519
WH-E,Laptop,55.0,225,Supplier-B,2026-02-01,2862
WH-B,Mobile,70.0,230,Supplier-A,2025-09-28,2106
WH-A,Camera,375.0,57,Supplier-Y,2025-05-29,2698
WH-C,Laptop,203.0,87,Supplier-Z,2026-05-29,2684
WH-E,Printer,369.0,93,Supplier-B,2025-09-27,3646
WH-A,Printer,369.0,199,Supplier-B,2025-05-07,2830
WH-B,Camera,255.0,52,Supplier-Z,2025-04-08,3026
WH-D,Keyboard,,138,Supplier-B,2024-12-18,1700
WH-C,Printer,253.0,100,Supplier-Z,2024-10-16,2805
WH-D,Mobile,215.0,197,Supplier-Y,2025-07-31,2446
WH-C,Laptop,,225,Supplier-A,2025-07-19,2448
WH-A,Camera,417.0,205,Supplier-Z,2024-09-09,3311
WH-C,Monitor,337.0,243,Supplier-Y,2026-02-08,2730
WH-B,Mobile,178.0,58,Supplier-X,2024-08-06,1980
WH-C,Tablet,485.0,241,Supplier-X,2026-04-30,3117
WH-B,Monitor,422.0,143,Supplier-Y,2024-09-24,2687
WH-E,Keyboard,151.0,173,Supplier-Y,2024-10-27,2165
WH-C,Mouse,259.0,86,Supplier-X,2025-10-31,1863
WH-B,Printer,,151,Supplier-B,2024-11-02,1857
WH-C,Mobile,208.0,222,Supplier-A,2026-03-08,2408
WH-E,Printer,75.0,170,Supplier-Z,2025-12-11,2487
WH-E,Mouse,133.0,212,Supplier-B,2025-05-24,2320
WH-D,Keyboard,79.0,59,Supplier-A,2025-10-07,1692
WH-D,Mobile,140.0,84,Supplier-X,2024-08-19,2168
WH-D,Mouse,234.0,236,Supplier-B,2025-04-25,2081
WH-D,Mobile,335.0,121,Supplier-A,2025-04-23,2871
WH-C,Monitor,247.0,142,Supplier-A,2025-10-06,2341
WH-C,Mouse,223.0,81,Supplier-X,2025-06-29,1803
WH-D,Mobile,348.0,55,Supplier-Y,2025-08-15,2719
WH-C,Monitor,422.0,67,Supplier-Y,2025-01-12,3040
WH-E,Monitor,130.0,109,Supplier-B,2025-09-03,2608
WH-B,Laptop,459.0,83,Supplier-Z,2026-04-30,3403
WH-C,Tablet,358.0,83,Supplier-X,2024-07-09,2531
WH-C,Monitor,,117,Supplier-B,2025-12-11,1676
WH-B,Printer,78.0,171,Supplier-B,2026-01-11,2313
WH-C,Mobile,277.0,207,Supplier-A,2024-09-27,2503
WH-E,Keyboard,349.0,65,Supplier-A,2025-12-12,2792
WH-D,Printer,271.0,163,Supplier-X,2026-05-19,2700
WH-A,Mouse,,120,Supplier-B,2025-08-22,1019
WH-E,Mouse,325.0,166,Supplier-A,2026-02-04,2633
WH-E,Printer,426.0,217,Supplier-X,2025-01-24,3661
WH-E,Monitor,251.0,155,Supplier-A,2026-02-17,2876
